question_id,user_question,expected_answer_summary,relevant_document,risk_category,should_escalate,difficulty_level,generated_answer,retrieved_sources,source_match,predicted_escalation,escalation_correct,answer_relevance_score,groundedness_score,completeness_score,unsupported_claim_risk_score,overall_quality_score,evaluator_notes,answer_relevance_score,groundedness_score,completeness_score,unsupported_claim_risk_score
Q-34,"What is the threshold for a ""High-Value Transaction"" requiring dual sign-off?",Any order total value exceeding €500.00 inclusive of VAT.,refund_and_replacement_policy.md,Refund,No,Easy,"According to the policy documents, the threshold for a ""High-Value Transaction"" requiring dual sign-off is an order with a total value exceeding **€500.00 (inclusive of VAT)**.

Escalation needed: No
Reason: The policy clearly defines the threshold for High-Value Transactions, and the AI assistant is not permitted to authorize refunds or replacements for such transactions.",refund_and_replacement_policy.md (score=0.806); refund_and_replacement_policy.md (score=0.6963); refund_and_replacement_policy.md (score=0.6756); customer_complaint_handling_sop.md (score=0.6717); escalation_matrix.md (score=0.6696),1,no,1,4,5,5,4,0.9167,,4,5,5,4
Q-35,Does BrightPath allow the storage of a customer's Burgerservicenummer (BSN) in CRM notes?,No. BrightPath does not require and must never request or store a customer's BSN.,data_privacy_and_ai_usage_policy.md,Privacy,No,Easy,"According to the policy documents, specifically Section 3.2 of the data_privacy_and_ai_usage_policy.md, the Citizen Service Number (Burgerservicenummer - BSN) is strictly prohibited from being collected, processed, or stored by BrightPath. It is explicitly stated that BrightPath does not require and must never request or store a customer's BSN.

Therefore, it is not allowed to store a customer's BSN in CRM notes.

Escalation needed: No
Reason: The policy explicitly prohibits the storage of BSN.",data_privacy_and_ai_usage_policy.md (score=0.7535); faq_knowledge_base.md (score=0.7166); customer_support_policy.md (score=0.7149); vendor_risk_checklist.md (score=0.7103); data_privacy_and_ai_usage_policy.md (score=0.7088),1,no,1,4,5,5,4,0.9167,,4,5,5,4
Q-36,"An order is marked as ""Returned to Sender"" (RTS) on the carrier portal. Can the AI assistant ask the customer for their correct address?","No. The AI must escalate to a human agent, as it is restricted from handling RTS or address changes.",delivery_and_tracking_sop.md,Logistics,Yes,Medium,"According to the policy documents, when an order is marked as ""Returned to Sender"" (RTS) on the carrier portal, the AI assistant must immediately escalate the query to a human agent (see Document 3, Section 7. Scenarios Mandating AI Assistant Escalation, point 1). This is because the AI assistant is structurally restricted from managing shipping issues autonomously and cannot verify the address without potentially making assumptions.

Escalation needed: Yes
Reason: The order status is ""Returned to Sender"" (RTS), which indicates a delivery failure due to address errors, repeated missed attempts, or damage in transit, and the AI assistant must escalate the query to a human agent.",refund_and_replacement_policy.md (score=0.7891); delivery_and_tracking_sop.md (score=0.7767); delivery_and_tracking_sop.md (score=0.77); customer_support_policy.md (score=0.7654); customer_support_policy.md (score=0.7478),1,yes,1,4,4,4,4,0.8333,,4,4,4,4
Q-37,A B2B customer received the wrong brand of paper and complains 6 business days after delivery. What happens?,The return window for incorrect B2B shipments is 5 business days. The agent must escalate this to a supervisor.,refund_and_replacement_policy.md,Refund,Yes,Hard,"The B2B customer received the wrong brand of paper and complains 6 business days after delivery. According to the policy, the B2B return window for wrong/defective items is 5 business days. Since the customer reported the issue 6 business days after delivery, which is outside the permitted window, the AI Assistant must use defensive phrasing and not approve an automated dispatch. The customer's request should be escalated to the Customer Support Supervisor for review.

Escalation needed: Yes
Reason: The customer's return request falls outside the permitted window of 5 business days for B2B wrong/defective items.",faq_knowledge_base.md (score=0.7449); faq_knowledge_base.md (score=0.7183); refund_and_replacement_policy.md (score=0.6937); faq_knowledge_base.md (score=0.6826); delivery_and_tracking_sop.md (score=0.6803),1,yes,1,5,4,4,4,0.875,,5,4,4,4
Q-38,What is the minimum RAGAS confidence score required for the AI assistant to output a policy answer?,"The minimum confidence score is 0.70. If lower, it must fail safe and escalate.",escalation_matrix.md,AI Governance,Yes,Hard,"The minimum RAGAS confidence score required for the AI assistant to output a policy answer is 0.70.

If the AI response confidence score (RAGAS / faithfulness) is less than 0.70, the AI assistant will not output an answer and will instead route the customer to a Tier-2 Support Agent.

Escalation needed: No
Reason: The policy clearly states that the AI assistant will not output an answer if the RAGAS confidence score is less than 0.70.",escalation_matrix.md (score=0.711); customer_support_policy.md (score=0.6743); faq_knowledge_base.md (score=0.6714); productivity_baseline_notes.md (score=0.6703); faq_knowledge_base.md (score=0.6702),1,no,0,4,3,4,5,0.6667,,4,3,4,5
Q-39,Can an employee use a public AI tool to translate a confidential draft contract for a German office supply partner?,"No. Translating confidential, non-public information using public, non-enterprise AI models is strictly prohibited.",internal_employee_ai_use_guidelines.md,Privacy,No,Hard,"Based on the provided policy context, it appears that an employee is not allowed to use a public AI tool to translate a confidential draft contract for a German office supply partner. 

Section 4.2 of the data_privacy_and_ai_usage_policy.md document explicitly states that employees are prohibited from entering ""Intellectual Property"" into public or non-enterprise-controlled AI tools, which includes draft strategic business plans and confidential contracts.

Additionally, Section 6 of the internal_employee_ai_use_guidelines.md document emphasizes that employees are held accountable for the accuracy of AI-generated content and that using AI does not relieve them of their professional responsibilities.

Therefore, it is recommended that the employee use the internal BrightPath AI Assistant, which is a secured, enterprise-grade tool, to translate the contract. However, the employee must manually verify and edit the output before sending.

Escalation needed: No
Reason: The policy clearly prohibits using public AI tools for confidential information, and the internal BrightPath AI Assistant is a suitable alternative.",faq_knowledge_base.md (score=0.7152); data_privacy_and_ai_usage_policy.md (score=0.7028); internal_employee_ai_use_guidelines.md (score=0.6972); data_privacy_and_ai_usage_policy.md (score=0.6942); customer_support_policy.md (score=0.6917),1,no,1,5,4,4,5,0.9167,,5,4,4,5
Q-40,A B2B client returns standard paper folders within 5 business days. Do they get a full refund?,No. They get a refund minus a 15% restocking fee calculated on the net invoice value.,refund_and_replacement_policy.md,Refund,No,Medium,"Based on the provided policy context, a B2B client returns standard paper folders within 5 business days. According to Section 2.2 of Document 2, B2B customers are granted a voluntary return window of 7 business days from delivery. Since the client returned the items within 5 business days, which is before the 7-day window, they are eligible for a refund.

However, according to Section 2.2 of Document 2, all B2B returns that are not due to defect or error on BrightPath's part are subject to a 15% restocking fee, calculated based on the net invoice value of the returned products. Therefore, the client will receive a refund, but it will be subject to a 15% restocking fee.

Escalation needed: No
Reason: The policy clearly outlines the return window and restocking fee for B2B customers, and the client's return falls within the allowed timeframe.",refund_and_replacement_policy.md (score=0.7771); refund_and_replacement_policy.md (score=0.7739); faq_knowledge_base.md (score=0.772); faq_knowledge_base.md (score=0.7652); faq_knowledge_base.md (score=0.749),1,no,1,5,5,5,5,1.0,,5,5,5,5
Q-41,If an agent wants to give a €15 goodwill voucher to a customer for a late delivery," does it require approval?,A €15 voucher is a Level 2 complaint response, which requires approval from a Customer Support Supervisor.",customer_complaint_handling_sop.md,Refund,Yes,Medium,"According to the policy documents, if an agent wants to give a €15 goodwill voucher to a customer for a late delivery, it does not match any of the specified goodwill voucher thresholds in the policy documents. The thresholds are:

- €10.00 for delays exceeding 3 business days
- €25.00 for delays exceeding 7 business days

Since the €15 voucher does not match any of these thresholds, the agent cannot provide it as a goodwill gesture for a late delivery.

Escalation needed: Yes
Reason: The policy does not specify a goodwill voucher amount for a late delivery between 3 and 7 business days.",refund_and_replacement_policy.md (score=0.7512); faq_knowledge_base.md (score=0.7439); faq_knowledge_base.md (score=0.7412); customer_complaint_handling_sop.md (score=0.7254); customer_support_policy.md (score=0.6855),1,yes,1,4,4,4,4,0.8333,,4,4,4,4
Q-42,Who is the owner of the Customer Complaint Handling SOP?,The Head of Customer Experience (CX).,customer_complaint_handling_sop.md,Operations,No,Easy,"The owner of the Customer Complaint Handling SOP is the Head of Customer Experience (CX).

Escalation needed: No
Reason: The policy documents clearly state the document owner as the Head of Customer Experience (CX).",customer_complaint_handling_sop.md (score=0.7508); customer_complaint_handling_sop.md (score=0.7063); faq_knowledge_base.md (score=0.66); delivery_and_tracking_sop.md (score=0.6575); customer_complaint_handling_sop.md (score=0.6519),1,no,1,5,4,4,4,0.875,,5,4,4,4
Q-43,"What happens if a customer asks for ""unlimited revisions"" on a customized print design based on a policy dispute?",There is no policy offering unlimited revisions on custom work. The ticket must be flagged with #DOC-DISCREPANCY and escalated.,customer_support_policy.md,Refund,Yes,Hard,"Based on the provided policy context, if a customer asks for ""unlimited revisions"" on a customized print design based on a policy dispute, the AI Assistant must not agree to this request. According to Document 4, Section 4.2, ""Direct Order Modification: The AI cannot modify order details, delivery addresses, or items in a processing queue. Customers must be directed to a human agent.""

Additionally, Document 4, Section 4.2, ""Complex Disputes: The AI must not mediate disputes regarding defective merchandise or contract pricing."" This implies that the AI Assistant should not attempt to resolve disputes related to customized print designs, including those involving policy disputes.

Therefore, the AI Assistant should respond by stating its limitations and offering to route the chat to a human agent. This is in line with Document 3, Section 8, which states that the AI assistant must not guess and must state its limitations when a customer scenario does not neatly fit the written policies.

Escalation needed: Yes
Reason: The AI Assistant's scope of authority does not permit it to mediate disputes or modify order details, and the customer is requesting unlimited revisions based on a policy dispute.",faq_knowledge_base.md (score=0.6851); escalation_matrix.md (score=0.6836); customer_support_policy.md (score=0.6742); customer_support_policy.md (score=0.6687); faq_knowledge_base.md (score=0.6647),1,yes,1,4,4,4,4,0.8333,,4,4,4,4
Q-44,What is the standard SLA resolution time for an email-based general query from a B2B Partner?,The resolution SLA for general email queries is within 24 business hours.,customer_support_policy.md,SLA,No,Hard,"According to the policy documents, the standard SLA resolution time for an email-based general query from a B2B Partner is less than 4 business hours (as per Document 1: customer_support_policy.md, Section 3. Response Time Targets (SLA)).

Escalation needed: No
Reason: The policy clearly states the target response and resolution times for B2B Partners.",customer_support_policy.md (score=0.7514); escalation_matrix.md (score=0.6787); productivity_baseline_notes.md (score=0.6601); faq_knowledge_base.md (score=0.6577); faq_knowledge_base.md (score=0.6522),1,no,1,4,4,5,4,0.875,,4,4,5,4
Q-45,Are we allowed to use credit card numbers in chat transcripts to confirm transactions?,"No. Credit card numbers, CVVs, and banking PINs must never be recorded in chat logs or emails.",data_privacy_and_ai_usage_policy.md,Privacy,No,Medium,"According to the policy documents, we are not allowed to use credit card numbers in chat transcripts to confirm transactions. Document 1, Section 2, Q29 explicitly states that credit card numbers must never be entered in chat logs, and all payments are completed through our secure third-party provider, Mollie.

Escalation needed: No
Reason: The policy clearly prohibits the use of credit card numbers in chat logs.",faq_knowledge_base.md (score=0.7834); faq_knowledge_base.md (score=0.7019); escalation_matrix.md (score=0.7); delivery_and_tracking_sop.md (score=0.6647); data_privacy_and_ai_usage_policy.md (score=0.6565),1,no,1,4,5,5,4,0.9167,,4,5,5,4
Q-46,A customer wants to return a €600 desk because it is damaged," but refuses to provide photographs. Can we approve a replacement?,No. Clear digital photographs of the damage are required to verify the transit damage before dispatching replacements.",refund_and_replacement_policy.md,Refund,Yes,Hard,"The customer wants to return a €600 desk because it is damaged. According to the policy, any refund exceeding €500.00 requires written approval from both a Customer Support Supervisor and the Finance Department (Document 1, Q37). Since the desk is valued at €600, which exceeds the €500.00 threshold, the AI Assistant cannot process the refund without escalation.

Additionally, the policy states that if an item has been fully assembled or used excessively, BrightPath reserves the right to deduct up to 50% of the refund value due to depreciation (Document 2, Q14). However, this does not affect the need for escalation due to the high-value transaction.

Escalation needed: Yes
Reason: The transaction value exceeds the €500.00 high-value threshold, requiring written approval from both a Customer Support Supervisor and the Finance Department.",faq_knowledge_base.md (score=0.7215); faq_knowledge_base.md (score=0.7093); refund_and_replacement_policy.md (score=0.6768); refund_and_replacement_policy.md (score=0.6639); refund_and_replacement_policy.md (score=0.6608),1,yes,1,4,5,4,5,0.9167,,4,5,4,5
Q-47,The AI assistant is asked about office supply prices for next year's corporate contracts. What should it do?,It must not guess or negotiate. It should route the request to the B2B Sales Department.,customer_support_policy.md,AI Governance,Yes,Hard,"The BrightPath AI Assistant cannot provide information on office supply prices for next year's corporate contracts as it falls outside its scope of authority. According to Section 4.1 of Document 1, the AI Assistant can only answer routine, informational queries within strict technical boundaries, and it cannot make custom policy exemptions or establish contract liabilities.

The AI Assistant can only provide information on product specifications, such as dimensions, materials, and features of items in our catalog, but it cannot provide pricing information for future contracts.

Escalation needed: Yes
Reason: The query involves a scenario that does not clearly fit any single policy, specifically requesting information on future contract pricing, which is outside the AI Assistant's scope of authority.",customer_support_policy.md (score=0.7367); customer_support_policy.md (score=0.7365); customer_support_policy.md (score=0.7057); faq_knowledge_base.md (score=0.6984); customer_support_policy.md (score=0.6968),1,yes,1,5,4,4,4,0.875,,5,4,4,4
Q-48,What data formats must a vendor support for returning BrightPath's data at the end of a contract?,"The data must be exportable in open standard formats like CSV, JSON, or XML without proprietary wrappers.",vendor_risk_checklist.md,Security,No,Medium,"According to the policy documents, a vendor must support returning BrightPath's data in open standard formats (e.g., CSV, JSON, XML) without proprietary wrappers at the end of a contract. This is stated in Section 3.4 Business Continuity & Exit Strategy of the vendor_risk_checklist.md document.

Escalation needed: No
Reason: The policy clearly specifies the required data format for returning BrightPath's data.",vendor_risk_checklist.md (score=0.7985); vendor_risk_checklist.md (score=0.7862); faq_knowledge_base.md (score=0.775); data_privacy_and_ai_usage_policy.md (score=0.7637); faq_knowledge_base.md (score=0.7519),1,no,1,5,5,5,5,1.0,,5,5,5,5
Q-49,What was the historical average Customer Satisfaction Score (CSAT) during the manual era?,The baseline CSAT was 72.0%.,productivity_baseline_notes.md,Operations,No,Easy,"According to the policy context, the historical average Customer Satisfaction Score (CSAT) during the manual era was **72.0%**.

Escalation needed: No
Reason: The policy documents provide the required information to answer the question.",productivity_baseline_notes.md (score=0.6878); productivity_baseline_notes.md (score=0.6314); productivity_baseline_notes.md (score=0.5961); productivity_baseline_notes.md (score=0.5938); productivity_baseline_notes.md (score=0.5844),1,no,1,5,4,4,4,0.875,,5,4,4,4
Q-50,Can a customer receive a goodwill compensation voucher if their package was delayed because they weren't home?,"No. Delays due to customer error, missed delivery attempts, or incorrect addresses are not eligible for compensation.",refund_and_replacement_policy.md,Logistics,No,Hard,"Based on the provided policy context, a customer cannot receive a goodwill compensation voucher if their package was delayed because they weren't home. According to Section 4 of BP-POL-RRP-002, exceptions to goodwill compensation include delays due to customer error, such as ""incorrect delivery address, missed delivery attempts, lack of access to office buildings.""

Escalation needed: No
Reason: The policy explicitly states that delays due to customer error are not eligible for compensation.",refund_and_replacement_policy.md (score=0.7668); faq_knowledge_base.md (score=0.7482); faq_knowledge_base.md (score=0.7231); customer_complaint_handling_sop.md (score=0.7002); delivery_and_tracking_sop.md (score=0.6676),1,no,1,5,5,4,4,0.9167,,5,5,4,4
